name	start	end	strand	fill
Lapu_g7498.t1_cad	20194	20374	1	"#8d8d8d"
Lapu_g203.t1_abdB	28676	28856	1	"#d43cc0"
Lapu_miriab4/8	131066	131145	1	"#5C5C5C"
Lapu_g207.t1_abdA	155820	156000	1	"#963be3"
Lapu_g208.t1_ubx	200254	200434	1	"#4842e3"
Lapu_g209.t1_antp	230953	231133	1	"#5085e1"
Lapu_g210.t1_ftz	253091	253271	1	"#60d2de"
Lapu_g211.t1_scr	264083	264263	1	"#5cdc75"
Lapu_mir10	276973	277064	1	"#5C5C5C"
Lapu_g212.t1_dfd	282929	283109	1	"#67dc00"
Lapu_mir993	295867	295943	1	"#5C5C5C"
Lapu_g213.t1_hox3	304507	304687	1	"#9bdc33"
Lapu_g3174.t1_lab	403470	403650	-1	"#d24537"
Lapu_g3175.t1_pb	428178	428358	-1	"#dc7c33"
