name	start	end	strand	fill
Etex_C0007.g24.t1_ftz	4962074	4962254	1	"#60d2de"
Etex_C0007.g25.t1_scr	4973463	4973643	1	"#5cdc75"
Etex_mir10	4982419	4982508	1	"#5C5C5C"
Etex_C0007.g27.t2_dfd	4989603	4989783	1	"#67dc00"
Etex_C0007.g29.t1_hox3	5012774	5012954	1	"#9bdc33"
Etex_C0007.g31.t1_pb	5025708	5025888	1	"#dc7c33"
Etex_C0007.g32.t1_lab	5047785	5047965	1	"#d24537"
Etex_C0002.g597.t1_lab	3717733	3717913	-1	"#d24537"
Etex_C0002.g599.t1_dfd	3747112	3747292	-1	"#67dc00"
Etex_C0002.g604.t2_antp	3826333	3826513	-1	"#5085e1"
Etex_C0002.g612.t1_abdA	3929967	3930147	-1	"#963be3"
Etex_miriab4/8	3971673	3971746	-1	"#5C5C5C"
Etex_C0008.g151.t2_cad	1011077	1011257	-1	"#8d8d8d"
