name	start	end	strand	fill
Dmag_XP.032786554.1_cad	7410940	7411120	1	"#8d8d8d"
Dmag_XP.032785540.1_abdB	8005923	8006103	1	"#d43cc0"
Dmag_miriab4/8	8042697	8042777	1	"#5C5C5C"
Dmag_XP.032785543.1_abdA	8077719	8077899	1	"#963be3"
Dmag_XP.032785569.1_ubx	8143506	8143686	1	"#4842e3"
Dmag_XP.032785563.1_antp	8170982	8171162	1	"#5085e1"
Dmag_XP.032785568.1_ftz	8199804	8199984	1	"#60d2de"
Dmag_XP.032785567.1_scr	8214065	8214245	1	"#5cdc75"
Dmag_mir10	8231910	8232002	1	"#5C5C5C"
Dmag_XP.032785565.1_dfd	8238885	8239065	1	"#67dc00"
Dmag_XP.032785561.1_hox3	8273676	8273856	1	"#9bdc33"
Dmag_XP.032785562.1_pb	8294675	8294855	1	"#dc7c33"
Dmag_XP.032785564.1_lab	8320566	8320746	1	"#d24537"
