name	start	end	strand	fill
Tlon_g1062.t1_abdB	290104	290284	1	"#d43cc0"
Tlon_miriab4/8	404479	404558	1	"#5C5C5C"
Tlon_g1065.t1_abdA	429766	429946	1	"#963be3"
Tlon_g1067.t1_ubx	501613	501793	1	"#4842e3"
Tlon_g1068.t1_antp	527868	528048	1	"#5085e1"
Tlon_g1069.t1_ftz	559104	559284	1	"#60d2de"
Tlon_12_scr	574621	574801	1	"#5cdc75"
Tlon_mir10	592378	592469	1	"#5C5C5C"
Tlon_g1071.t1_dfd	599438	599618	1	"#67dc00"
Tlon_mir993	620125	620201	1	"#5C5C5C"
Tlon_g1073.t1_hox3	632011	632191	1	"#9bdc33"
Tlon_g2619.t1_pb	646791	646971	1	"#dc7c33"
Tlon_g2620.t1_lab	674579	674759	1	"#d24537"
Tlon_04_cad	286374	286554	1	"#8d8d8d"
