name	start	end	strand	fill
Tces_g5763.t1_lab	4491	4671	1	"#d24537"
Tces_10_pb	9455	9635	1	"#dc7c33"
Tces_g731.t1_hox3	240863	241043	1	"#9bdc33"
Tces_mir993	227620	227696	1	"#5C5C5C"
Tces_g730.t1_dfd	206051	206231	1	"#67dc00"
Tces_mir10	199198	199289	1	"#5C5C5C"
Tces_g729.t1_scr	180747	180927	1	"#5cdc75"
Tces_g728.t1_ftz	165585	165765	1	"#60d2de"
Tces_g727.t1_antp	133398	133578	1	"#5085e1"
Tces_g726.t1_ubx	108919	109099	1	"#4842e3"
Tces_g723.t1_abdA	37576	37756	1	"#963be3"
Tces_miriab4/8	9928	10007	1	"#5C5C5C"
Tces_02_abdB	246084	246264	1	"#d43cc0"
Tces_04_cad	249676	249856	1	"#8d8d8d"
