name	start	end	strand	fill
Lcou_10_lab	8140	8320	-1	"#d24537"
Lcou_11_pb	26564	26744	-1	"#dc7c33"
Lcou_09_hox3	102280	102460	1	"#9bdc33"
Lcou_mir993	93584	93660	1	"#5C5C5C"
Lcou_06_dfd	81561	81741	1	"#67dc00"
Lcou_mir10	75580	75581	1	"#5C5C5C"
Lcou_12_scr	62555	62735	1	"#5cdc75"
Lcou_08_ftz	51530	51710	1	"#60d2de"
Lcou_04_antp	29406	29586	1	"#5085e1"
Lcou_g101.t1_ubx	113893	114073	-1	"#4842e3"
Lcou_01_abdA	158586	158766	-1	"#963be3"
Lcou_miriab4/8	183608	183686	-1	"#5C5C5C"
Lcou_02_abdB	192119	192299	1	"#d43cc0"
Lcou_g3926.t1_cad	200823	201003	1	"#8d8d8d"
