name	start	end	strand	fill
Dpul_EFX86813.1_lab	215158	215338	-1	"#d24537"
Dpul_EFX86812.1_pb	240419	240599	-1	"#dc7c33"
Dpul_EFX86809.1_hox3	264290	264470	-1	"#9bdc33"
Dpul_mir993	282300	282400	-1	"#5C5C5C"
Dpul_EFX86808.1_dfd	297877	298057	-1	"#67dc00"
Dpul_mir10	304805	304897	-1	"#5C5C5C"
Dpul_EFX86806.1_scr	323406	323586	-1	"#5cdc75"
Dpul_EFX86805.1_ftz	338493	338673	-1	"#60d2de"
Dpul_EFX86804.1_antp	368883	369063	-1	"#5085e1"
Dpul_EFX86802.1_ubx	394539	394719	-1	"#4842e3"
Dpul_EFX86800.1_abdA	478655	478835	-1	"#963be3"
Dpul_miriab4/8	515537	515617	-1	"#5C5C5C"
Dpul_EFX86798.1_abdB	549307	549487	-1	"#d43cc0"
Dpul_EFX86750.1_cad	1219887	1220067	-1	"#8d8d8d"
