name	start	end	strand	fill
Afr1_08854_lab	1	180	1	"#d24537"
Afr1_08853_pb	57138	57318	1	"#dc7c33"
Afr1_17274_hox3	57319	57499	1	"#9bdc33"
Afr1_17275_dfd	187747	187927	1	"#67dc00"
Afr1_17271_scr	289706	289526	1	"#5cdc75"
Afr1_17267_ftz	346933	347113	1	"#60d2de"
Afr1_13755_antp	347295	347115	-1	"#5085e1"
Afr1_13756_ubx	400705	400525	-1	"#4842e3"
Afr1_01481_abdA	400887	400707	+1	"#963be3"
Afr1_mir4/8	400978	400888	+1	"#5C5C5C"
Afr1_17013_abdB	401159	400979	+1	"#d43cc0"
Afr1_07949_cad	401340	401160	+1	"#8d8d8d"
Afr1_09810_ind	401521	401341	+1	"#717171"
