name	start	end	strand	fill
Tcit_g7702.t1_lab	3745	3925	1	"#d24537"
Tcit_g2708.t1_pb	14786	14966	1	"#dc7c33"
Tcit_g808.t1_hox3	131660	131840	1	"#9bdc33"
Tcit_mir993	118283	118359	1	"#5C5C5C"
Tcit_g806.t1_dfd	96681	96861	1	"#67dc00"
Tcit_mir10	89813	89904	1	"#5C5C5C"
Tcit_12_scr	71632	71812	1	"#5cdc75"
Tcit_g802.t1_ftz	56281	56461	1	"#60d2de"
Tcit_g801.t1_antp	24278	24458	1	"#5085e1"
Tcit_g3772.t1_ubx	133670	133850	1	"#4842e3"
Tcit_g509.t1_abdA	139784	139964	-1	"#963be3"
Tcit_miriab4/8	167458	167536	-1	"#5C5C5C"
Tcit_02_abdB	280367	280547	-1	"#d43cc0"
Tcit_g3522.t1_cad	283965	284145	-1	"#8d8d8d"
